Steiner tree multicast
+99999.0ns	0	0	0
+1000099999.0ns	0	0	0
+2000099999.0ns	314636	314636	0
+3000099999.0ns	317091	317091	0
+4000099999.0ns	308364	308364	0
+5000099999.0ns	324818	324818	0
+6000099999.0ns	305636	305636	0
+7000099999.0ns	306818	306818	0
+8000099999.0ns	320455	320455	0
+9000099999.0ns	310455	310455	0
+10000099999.0ns	283091	283091	0
+11000099999.0ns	266818	266818	0
+12000099999.0ns	276545	276545	0
+13000099999.0ns	293091	293091	0
+14000099999.0ns	285909	285909	0
+15000099999.0ns	281818	281818	0
+16000099999.0ns	267636	267636	0
+17000099999.0ns	230909	230909	0
+18000099999.0ns	227273	227273	0
+19000099999.0ns	205364	205364	0
+20000099999.0ns	201636	201636	0
+21000099999.0ns	201364	201364	0
+22000099999.0ns	213273	213273	0
+23000099999.0ns	215182	215182	0
+24000099999.0ns	210727	210727	0
+25000099999.0ns	199364	199364	0
+26000099999.0ns	184909	184909	0
+27000099999.0ns	182545	182545	0
+28000099999.0ns	183455	183455	0
+29000099999.0ns	174091	174091	0
+30000099999.0ns	172273	172273	0
+31000099999.0ns	158000	158000	0
+32000100000.0ns	194545	194545	0
+33000100000.0ns	206273	206273	0
+34000100000.0ns	201364	201364	0
+35000100000.0ns	205818	205818	0
+36000100000.0ns	198545	198545	0
+37000100000.0ns	193545	193545	0
+38000100000.0ns	198727	198727	0
+39000100000.0ns	197909	197909	0
+40000100000.0ns	199000	199000	0
+41000100000.0ns	191545	191545	0
+42000100000.0ns	192909	192909	0
+43000100000.0ns	196727	196727	0
+44000100000.0ns	226455	226455	0
+45000100000.0ns	231364	231364	0
+46000100000.0ns	227455	227455	0
+47000100000.0ns	220364	220364	0
+48000100000.0ns	215091	215091	0
+49000100000.0ns	213909	213909	0
+50000100000.0ns	197636	197636	0
+51000100000.0ns	187818	187818	0
+52000100000.0ns	169000	169000	0
+53000100000.0ns	167273	167273	0
+54000100000.0ns	161818	161818	0
+55000100000.0ns	164455	164455	0
+56000100000.0ns	162818	162818	0
+57000100000.0ns	162909	162909	0
+58000100000.0ns	162545	162545	0
+59000100000.0ns	167182	167182	0
+60000100000.0ns	169000	169000	0
+61000100000.0ns	168182	168182	0
+62000100000.0ns	188273	188273	0
+63000100000.0ns	205091	205091	0
