node,eth0,eth1,eth2,eth3
0,52.27.8.88,35.155.95.188,,
1,54.153.28.117,50.18.80.227,54.219.98.254,
2,54.153.29.109,54.241.50.210,54.219.103.111,
3,54.166.56.145,35.173.10.73,3.214.7.175,
4,18.220.100.248,3.22.137.177,3.22.177.132,
5,34.203.216.46,35.172.85.131,52.71.205.122,
6,18.189.157.94,3.22.189.42,3.22.109.230,3.22.193.164
7,3.87.224.130,54.157.23.129,35.170.86.70,
8,18.220.80.195,3.22.219.186,,
